Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-A01,Pump,118,5.1,108
Pump-A02,Pump,122,5.3,112
Pump-A03,Pump,125,5.4,115
Pump-A04,Pump,115,5.0,105
Pump-A05,Pump,130,5.8,120
Pump-A06,Pump,128,5.6,118
Pump-A07,Pump,135,6.0,125
Pump-A08,Pump,140,6.2,128
Valve-V01,Valve,55,3.8,98
Valve-V02,Valve,58,4.0,100
Valve-V03,Valve,60,4.2,102
Valve-V04,Valve,62,4.3,105
Valve-V05,Valve,65,4.5,108
Valve-V06,Valve,50,3.5,95
Valve-V07,Valve,52,3.6,96
Compressor-C01,Compressor,90,7.8,92
Compressor-C02,Compressor,95,8.2,95
Compressor-C03,Compressor,100,8.5,98
Compressor-C04,Compressor,105,8.8,100
Compressor-C05,Compressor,110,9.0,105
HeatExchanger-H01,HeatExchanger,145,6.0,125
HeatExchanger-H02,HeatExchanger,150,6.2,130
HeatExchanger-H03,HeatExchanger,155,6.4,135
HeatExchanger-H04,HeatExchanger,160,6.6,140
HeatExchanger-H05,HeatExchanger,165,6.8,145
Reactor-R01,Reactor,135,7.0,135
Reactor-R02,Reactor,140,7.2,138
Reactor-R03,Reactor,145,7.5,142
Reactor-R04,Reactor,150,7.8,145
Condenser-K01,Condenser,155,6.5,120
Condenser-K02,Condenser,160,6.7,125
Condenser-K03,Condenser,165,6.9,130
Condenser-K04,Condenser,170,7.1,135
Pump-B01,Pump,110,4.8,100
Pump-B02,Pump,112,4.9,102
Valve-B01,Valve,45,3.2,90
Valve-B02,Valve,48,3.4,92
Compressor-B01,Compressor,85,7.5,88
Compressor-B02,Compressor,88,7.6,90
HeatExchanger-B01,HeatExchanger,140,5.8,122
Reactor-B01,Reactor,130,6.8,132
Condenser-B01,Condenser,150,6.3,118
Pump-C01,Pump,145,6.5,130
Valve-C01,Valve,70,4.8,112
Compressor-C06,Compressor,115,9.2,108
HeatExchanger-H06,HeatExchanger,170,7.0,150
Reactor-R05,Reactor,155,8.0,148
Condenser-K05,Condenser,175,7.3,140
